geneid	chrom	startpos	endpos
NZX7	13	312723	313219
3JQ0	17	568244	568742
CPE875R0	19	749703	750187
DXAPB	12	380320	380826
5VUUD	11	660374	660869
VJ5PZ	15	260379	260880
MQUWRSCH	10	606012	606510
TLJYO	22	790653	791153
9VL93C	3	331136	331641
H01P3V	13	114875	115367
HC7NI	23	655746	656264
DNWWWQ	10	451102	451601
8IO875V0	15	755256	755749
UH092OYU	12	358815	359321
O6VZ	12	970240	970733
SGDXI6F2	15	715619	716114
JV0G21	9	13058	13560
HL06	4	111606	112107
85NMB	22	962742	963247
OEEF093	16	841501	841992
9RML2MCF	3	789407	789897
CDID	4	462661	463139
3QO48I	8	473005	473502
JI59	8	284462	284961
DY0K	8	578389	578901
95EMZHCE	1	327646	328135
40R0OQ	17	878445	878947
008TL	16	375198	375691
RNJ3IEAA	9	357706	358195
5VNHDF	12	985495	985982
RI78	17	587193	587703
8EXNA	18	446934	447439
SI1139GQ	15	917217	917715
849U6P	23	94461	94980
0HMD28O	17	774506	775001
QRBMBXIL	6	524271	524771
KPXDH9	18	264241	264763
YTY9	13	366837	367329
YZA7	5	540617	541120
2PCV9	2	748472	748956
KX9MKH	7	8214	8707
QIUCP	9	251152	251646
7XQ6	13	299962	300473
XN5WM	21	516257	516759
5501L9	16	796431	796914
7RBGAKW9	3	553759	554249
1VCRLD	18	897206	897699
JXS1VHOV	8	265342	265849
7J36S5	2	373170	373661
Y4LZ	15	494881	495378
F79B8S	1	521427	521922
NH9Z5	6	585952	586441
A68K	2	431687	432185
8XIIN	14	593543	594050
Z5TKDN	3	42401	42890
W7TWKW8	23	144079	144592
